Model Yr;Mfr Name;Division;Carline;Trans as listed in FE Guide (derived from col AA thru AF);City Unadj FE - Conventional Fuel;Fuel Usage Desc - Conventional Fuel
2010;Mercedes-Benz;Mercedes-Benz;MAYBACH 57 Zeppelin;Auto(A5);12,6;Gasoline (Premium Unleaded Required)
2010;Mercedes-Benz;Mercedes-Benz;S 550;Auto(A7);18,8;Gasoline (Premium Unleaded Required)
2010;Mercedes-Benz;Mercedes-Benz;S 550 4MATIC;Auto(A7);17,5;Gasoline (Premium Unleaded Required)
2010;Mercedes-Benz;Mercedes-Benz;S 600;Auto(A5);13,7;Gasoline (Premium Unleaded Required)
2010;Mercedes-Benz;Mercedes-Benz;S 63 AMG;Auto(A7);13,9;Gasoline (Premium Unleaded Required)
2010;Mercedes-Benz;Mercedes-Benz;S 65 AMG;Auto(A5);13,5;Gasoline (Premium Unleaded Required)
2010;Mercedes-Benz;Mercedes-Benz;S400 HYBRID;Auto(A7);23,4;Gasoline (Premium Unleaded Required)
2010;Porsche;Porsche;Panamera 4S;Auto(A7);20,2489;Gasoline (Premium Unleaded Recommended)
2010;Porsche;Porsche;Panamera S;Auto(A7);20,2489;Gasoline (Premium Unleaded Recommended)
2010;Porsche;Porsche;Panamera Turbo;Auto(A7);18,5447;Gasoline (Premium Unleaded Recommended)
2010;Rolls-Royce;Rolls-Royce Motor Cars Limited;Ghost;Auto(S8);15,7;Gasoline (Premium Unleaded Recommended)
2010;Rolls-Royce;Rolls-Royce Motor Cars Limited;Phantom EWB;Auto(S6);13,9939;Gasoline (Premium Unleaded Recommended)
2010;Toyota;TOYOTA;AVALON;Auto(S6);24,5;Gasoline (Regular Unleaded Recommended)
2010;Volkswagen;Audi;A3;Auto(S6);Mod;Diesel, ultra low sulfur (15 ppm, maximum)
2010;Audi;Audi;A3;Manual(M6);25,2906;Gasoline (Premium Unleaded Recommended)
2010;Audi;Audi;A3;Auto(S6);27,0473;Gasoline (Premium Unleaded Recommended)
2010;Audi;Audi;A3 QUATTRO;Auto(S6);27,2;Gasoline (Premium Unleaded Recommended)
2010;Audi;Audi;A4 AVANT QUATTRO;Auto(S6);25,9563;Gasoline (Premium Unleaded Recommended)
2010;BMW;BMW;328i sport wagon;Auto(S6);22,5958;Gasoline (Premium Unleaded Recommended)
2010;BMW;BMW;328i sport wagon;Manual(M6);20,9607;Gasoline (Premium Unleaded Recommended)
2010;BMW;BMW;328i sport wagon xDrive;Auto(S6);21,8875;Gasoline (Premium Unleaded Recommended)
2010;BMW;BMW;328i sport wagon xDrive;Manual(M6);20,7054;Gasoline (Premium Unleaded Recommended)
2010;GM;Cadillac;CTS WAGON;Auto(S6);23,0999;Gasoline (Regular Unleaded Recommended)
2010;GM;Cadillac;CTS WAGON;Auto(S6);22,2;Gasoline (Regular Unleaded Recommended)
2010;GM;Cadillac;CTS WAGON AWD;Auto(S6);22;Gasoline (Regular Unleaded Recommended)
2010;GM;Cadillac;CTS WAGON AWD;Auto(S6);22,2999;Gasoline (Regular Unleaded Recommended)
2010;Chrysler Group LLC;Dodge;Caliber;Manual(M5);28,7;Gasoline (Regular Unleaded Recommended)
2010;Chrysler Group LLC;Dodge;Caliber;Auto(AV);28,8945;Gasoline (Regular Unleaded Recommended)
2010;Chrysler Group LLC;Dodge;Caliber;Auto(AV);27,1;Gasoline (Regular Unleaded Recommended)
2010;Chrysler Group LLC;Dodge;Caliber;Manual(M5);29,6;Gasoline (Regular Unleaded Recommended)
2010;Honda;Honda;FIT;Manual(M5);35,5644;Gasoline (Regular Unleaded Recommended)
2010;Honda;Honda;FIT;Auto(A5);36,5;Gasoline (Regular Unleaded Recommended)
2010;Honda;Honda;FIT;Auto(S5);35,2;Gasoline (Regular Unleaded Recommended)
2010;Hyundai;HYUNDAI MOTOR COMPANY;ELANTRA TOURING;Auto(A4);29,9;Gasoline (Regular Unleaded Recommended)
2010;Hyundai;HYUNDAI MOTOR COMPANY;ELANTRA TOURING;Manual(M5);29,5;Gasoline (Regular Unleaded Recommended)
2010;Nissan;INFINITI;EX35;Auto(S5);20,6;Gasoline (Premium Unleaded Recommended)
2010;Nissan;INFINITI;EX35 AWD;Auto(S5);20,2084;Gasoline (Premium Unleaded Recommended)
2010;Kia;KIA MOTORS CORPORATION;SOUL;Auto(A4);32,9;Gasoline (Regular Unleaded Recommended)
2010;Kia;KIA MOTORS CORPORATION;SOUL;Manual(M5);33,8;Gasoline (Regular Unleaded Recommended)
2010;Kia;KIA MOTORS CORPORATION;SOUL;Auto(A4);30,9;Gasoline (Regular Unleaded Recommended)
2010;Kia;KIA MOTORS CORPORATION;SOUL;Manual(M5);30,5;Gasoline (Regular Unleaded Recommended)
2010;Mitsubishi Motors Co;Mitsubishi Motors Corporation;LANCER SPORTBACK;Auto(AM6);21,4;Gasoline (Premium Unleaded Required)
2010;Mitsubishi Motors Co;Mitsubishi Motors Corporation;LANCER SPORTBACK;Manual(M5);25,2418;Gasoline (Regular Unleaded Recommended)
2010;Mitsubishi Motors Co;Mitsubishi Motors Corporation;LANCER SPORTBACK;Auto(AV-S6);26,3654;Gasoline (Regular Unleaded Recommended)
2010;Nissan;NISSAN;CUBE;Manual(M6);32,6;Gasoline (Regular Unleaded Recommended)
2010;Nissan;NISSAN;CUBE;Auto(AV);34,8246;Gasoline (Regular Unleaded Recommended)
2010;NUMMI;PONTIAC;VIBE;Auto(A4);33;Gasoline (Regular Unleaded Recommended)
2010;NUMMI;PONTIAC;VIBE;Manual(M5);33,6;Gasoline (Regular Unleaded Recommended)
2010;NUMMI;PONTIAC;VIBE;Auto(S5);27;Gasoline (Regular Unleaded Recommended)
2010;NUMMI;PONTIAC;VIBE;Manual(M5);27,1;Gasoline (Regular Unleaded Recommended)
2010;NUMMI;PONTIAC;VIBE;Auto(A4);25,3297;Gasoline (Regular Unleaded Recommended)
2010;GM;Saab;9-3 SPORTCOMBI;Auto(S5);23,5;Gasoline (Regular Unleaded Recommended)
2010;GM;Saab;9-3 SPORTCOMBI;Manual(M6);26,5;Gasoline (Regular Unleaded Recommended)
2010;GM;Saab;9-3X SPORTCOMBI AWD;Manual(M6);24,9322;Gasoline (Regular Unleaded Recommended)
2010;GM;Saab;9-3X SPORTCOMBI AWD;Auto(S6);21,8327;Gasoline (Regular Unleaded Recommended)
2010;GM;Saab;9-3X SPORTCOMBI AWD;Auto(S5);23,9;Gasoline (Regular Unleaded Recommended)
2010;Subaru;Subaru;Impreza Wagon/Outback Sport;Manual(M5);24,8571;Gasoline (Regular Unleaded Recommended)
2010;Subaru;Subaru;Impreza Wagon/Outback Sport;Auto(S4);25,0678;Gasoline (Regular Unleaded Recommended)
2010;Subaru;Subaru;Impreza Wagon/Outback Sport;Manual(M5);23,0124;Gasoline (Premium Unleaded Recommended)
2010;Subaru;Subaru;Impreza Wagon/Outback Sport;Auto(S4);23,8512;Gasoline (Premium Unleaded Recommended)
2010;Subaru;Subaru;Impreza Wagon/Outback Sport;Manual(M6);21,4;Gasoline (Premium Unleaded Recommended)
2010;Suzuki;Suzuki;SX4;Manual(M6);28,0966;Gasoline (Regular Unleaded Recommended)
2010;Suzuki;Suzuki;SX4;Auto(AV);29,6378;Gasoline (Regular Unleaded Recommended)
2010;Suzuki;Suzuki;SX4 AWD;Manual(M6);28,1022;Gasoline (Regular Unleaded Recommended)
2010;Suzuki;Suzuki;SX4 AWD;Auto(AV);29,4142;Gasoline (Regular Unleaded Recommended)
2010;Toyota;TOYOTA;COROLLA MATRIX;Auto(A4);32,7182;Gasoline (Regular Unleaded Recommended)
2010;Toyota;TOYOTA;COROLLA MATRIX;Manual(M5);33,5698;Gasoline (Regular Unleaded Recommended)
2010;Toyota;TOYOTA;COROLLA MATRIX;Auto(A4);25,49;Gasoline (Regular Unleaded Recommended)
2010;Toyota;TOYOTA;COROLLA MATRIX;Manual(M5);27,2141;Gasoline (Regular Unleaded Recommended)
2010;Toyota;TOYOTA;COROLLA MATRIX;Auto(S5);27,1117;Gasoline (Regular Unleaded Recommended)
2010;Toyota;TOYOTA;SCION xB;Manual(M5);27,6242;Gasoline (Regular Unleaded Recommended)
2010;Toyota;TOYOTA;SCION xB;Auto(S4);27,4;Gasoline (Regular Unleaded Recommended)
2010;Volkswagen;Volkswagen;JETTA SPORTWAGEN;Auto(S6);Mod;Diesel, ultra low sulfur (15 ppm, maximum)
2010;Volkswagen;Volkswagen;JETTA SPORTWAGEN;Manual(M6);Mod;Diesel, ultra low sulfur (15 ppm, maximum)
2010;Volkswagen;Volkswagen;JETTA SPORTWAGEN;Manual(M5);24,8525;Gasoline (Regular Unleaded Recommended)
2010;Volkswagen;Volkswagen;JETTA SPORTWAGEN;Auto(S6);27,0008;Gasoline (Regular Unleaded Recommended)
2010;Volvo;Volvo Cars of North America, LLC;V50 AWD;Auto(S5);23,4;Gasoline (Regular Unleaded Recommended)
2010;Volvo;Volvo Cars of North America, LLC;V50 AWD;Manual(M6);24,1;Gasoline (Regular Unleaded Recommended)
2010;Volvo;Volvo Cars of North America, LLC;V50 FWD;Auto(S5);24,8;Gasoline (Regular Unleaded Recommended)
2010;Volvo;Volvo Cars of North America, LLC;V50 FWD;Manual(M6);25,5;Gasoline (Regular Unleaded Recommended)
2010;Volvo;Volvo Cars of North America, LLC;V50 FWD;Auto(S5);25,5;Gasoline (Regular Unleaded Recommended)
2010;Audi;Audi;A6 AVANT QUATTRO;Auto(S6);21,7553;Gasoline (Premium Unleaded Recommended)
2010;BMW;BMW;535i Sport Wagon xDrive;Manual(M6);19,3493;Gasoline (Premium Unleaded Recommended)
